epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.271,1.51302,2.41424,1.26831,0.39334,0.26913,0.22676,0.13416,1.59705,2.35412,1.32419,0.000413625,0.000413625,0.000413625
2,296.048,1.56345,1.69948,1.27827,0.31528,0.20596,0.12474,0.06374,1.77327,2.36009,1.54473,0.000813852,0.000813852,0.000813852
3,356.334,1.60737,1.66448,1.31283,0.27475,0.20607,0.1595,0.08317,1.83072,2.11824,1.48098,0.00119758,0.00119758,0.00119758
4,414.687,1.6194,1.61023,1.32291,0.39431,0.24677,0.2297,0.12156,1.70996,1.79111,1.37996,0.00117575,0.00117575,0.00117575
5,465.208,1.58844,1.52513,1.29722,0.40237,0.23479,0.19533,0.11176,1.65754,2.06066,1.41224,0.001151,0.001151,0.001151
6,518.994,1.56212,1.48419,1.2842,0.45892,0.3409,0.32431,0.18701,1.59292,1.53369,1.30505,0.00112625,0.00112625,0.00112625
7,575.005,1.54081,1.42998,1.27087,0.37452,0.29586,0.24204,0.13991,1.63154,1.9281,1.36193,0.0011015,0.0011015,0.0011015
8,625.068,1.52685,1.40472,1.26551,0.4562,0.32485,0.29782,0.16555,1.58502,1.68523,1.29984,0.00107675,0.00107675,0.00107675
9,683.14,1.50881,1.37587,1.25605,0.44957,0.28366,0.25203,0.14169,1.57195,1.67251,1.29157,0.001052,0.001052,0.001052
10,731.504,1.49272,1.35233,1.2507,0.47313,0.32615,0.29812,0.17471,1.54162,1.70987,1.29651,0.00102725,0.00102725,0.00102725
11,780.402,1.49086,1.33674,1.24392,0.51682,0.366,0.36584,0.21627,1.52703,1.40407,1.27662,0.0010025,0.0010025,0.0010025
12,829.455,1.47298,1.30533,1.2303,0.50276,0.33744,0.33839,0.19566,1.52524,1.45336,1.27171,0.00097775,0.00097775,0.00097775
13,883.641,1.46986,1.29729,1.22689,0.48149,0.34607,0.31448,0.18594,1.50499,1.48444,1.25661,0.000953,0.000953,0.000953
14,937.687,1.44677,1.27563,1.22171,0.47338,0.31576,0.29643,0.16997,1.52476,1.5447,1.25041,0.00092825,0.00092825,0.00092825
15,989.127,1.44326,1.26031,1.21787,0.48432,0.35725,0.33016,0.19729,1.49219,1.51865,1.26452,0.0009035,0.0009035,0.0009035
16,1044.04,1.44306,1.2572,1.21596,0.51442,0.39446,0.37297,0.22606,1.46837,1.40696,1.2191,0.00087875,0.00087875,0.00087875
17,1094.8,1.43554,1.22978,1.20764,0.58588,0.41712,0.4348,0.26206,1.45172,1.23277,1.20773,0.000854,0.000854,0.000854
18,1147.38,1.41841,1.21509,1.20321,0.544,0.37783,0.37983,0.22675,1.45837,1.36045,1.22377,0.00082925,0.00082925,0.00082925
19,1200.72,1.42401,1.21299,1.20301,0.56724,0.41524,0.42619,0.25775,1.45814,1.24543,1.21224,0.0008045,0.0008045,0.0008045
20,1255.38,1.41472,1.1995,1.19812,0.54498,0.39756,0.39936,0.23852,1.47185,1.2829,1.22754,0.00077975,0.00077975,0.00077975
21,1306.73,1.41204,1.19759,1.19353,0.56997,0.38454,0.38915,0.2374,1.43037,1.27792,1.20747,0.000755,0.000755,0.000755
22,1358.53,1.40165,1.17332,1.18659,0.53296,0.38562,0.37102,0.22747,1.43214,1.33396,1.2063,0.00073025,0.00073025,0.00073025
23,1409.15,1.3966,1.1668,1.18495,0.5578,0.40416,0.40672,0.24736,1.42088,1.25568,1.19815,0.0007055,0.0007055,0.0007055
24,1461.12,1.38686,1.15463,1.18413,0.59439,0.42117,0.44155,0.26692,1.41602,1.19282,1.18341,0.00068075,0.00068075,0.00068075
25,1513.01,1.38477,1.1529,1.17788,0.58418,0.42881,0.44431,0.27103,1.40898,1.19842,1.18389,0.000656,0.000656,0.000656
26,1566.42,1.38091,1.14522,1.17884,0.56182,0.42657,0.42479,0.26199,1.40302,1.20584,1.18384,0.00063125,0.00063125,0.00063125
27,1614.37,1.3735,1.12743,1.17345,0.59939,0.45478,0.46854,0.28602,1.39725,1.13768,1.17724,0.0006065,0.0006065,0.0006065
28,1669.12,1.37027,1.12133,1.1689,0.58092,0.43687,0.45008,0.27568,1.39611,1.19977,1.17938,0.00058175,0.00058175,0.00058175
29,1717.28,1.36191,1.11304,1.1658,0.5673,0.40092,0.40697,0.25079,1.39856,1.24808,1.18478,0.000557,0.000557,0.000557
